Generated Answer,Extracted Choice
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including bilateral knee pain, morning stiffness, fatigue, and family history of RA, suggest the possibility of rheumatoid arthritis. Excess weight can contribute to joint pain, but given the family history and other symptoms, RA is a more likely cause.
Answer: (B) Excess weight",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has hepatitis C, and the treatment includes interferon-α, which inhibits viral replication. Among the options, inhibition of DNA-dependent RNA polymerase is most likely to be the mechanism of action of the additional drug in combination with interferon-α.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and the pathogen that can be cultured on Sabouraud agar suggest Cryptococcus neoformans. Therefore, the most likely additional finding in the CSF would be a positive latex agglutination test for Cryptococcal antigen.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. A LOD score greater than 3 indicates strong evidence for linkage, suggesting that the two loci are closely linked.
Answer: (C) LOD Score > 3",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is experiencing an anaphylactic reaction to the bee sting. The next best step in management would be to administer dexamethasone, a corticosteroid that helps reduce inflammation and prevent late-phase allergic reactions.
Answer: (C) Administer dexamethasone",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, lab values, and urinalysis findings are indicative of Goodpasture syndrome, an autoimmune disease affecting the lungs and kidneys. The most appropriate treatment for this patient would be a combination of Methylprednisolone and cyclophosphamide to suppress the immune system and reduce inflammation.
Answer: (B) Methylprednisolone and cyclophosphamide",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has multiple injuries, including decreased breath sounds over the right lung base, suggesting a possible pneumothorax. Therefore, the most appropriate next step in management would be the insertion of an intercostal chest tube to manage the pneumothorax.
Answer: (A) Insertion of intercostal chest tube",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with infective endocarditis, which is commonly associated with underlying conditions such as malignancy. The cardiac findings in this patient are most likely due to the embolic phenomenon from the malignant colonic neoplasm.
Answer: (B) Malignant colonic neoplasm",B
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and findings suggest Hodgkin lymphoma. In Hodgkin lymphoma, cells typically stain positive for CD15 and CD30.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and findings are consistent with a hiatal hernia. Lifestyle modifications are usually the first-line treatment for hiatal hernia. These include weight loss, avoiding large meals, not lying down after eating, and elevating the head of the bed. Therefore, the most appropriate next step in the management of this patient's underlying condition would be:
Answer: (A) Lifestyle modification",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has shortness of breath and reduced breath sounds over the left lung base after surgery, which is suggestive of atelectasis, a common complication post-surgery.
Answer: (D) Atelectasis",D
"Explanation: We refer to Wikipedia articles on medicine for help. The description of confluent scaly patches, plaques, and generalized erythroderma along with a solid skin lesion suggests a malignancy arising from cutaneous T cells, which is characteristic of cutaneous T-cell lymphoma.
Answer: (C)",C
"Explanation: To calculate the total volume of gas in the airways and lungs that does not participate in gas exchange, we need to add the residual volume (RV) and the sum of upper airway volume and conducting airway volume.

RV + Upper airway volume + Conducting airway volume
= 1,000 mL + 100 mL + 125 mL
= 1,225 mL

Therefore, the total volume of gas in the airways and lungs that does not participate in",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and examination findings are consistent with peritonsillar abscess, which is best managed with needle aspiration and oral clindamycin therapy.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of hypertension, soft S4 gallop, and family history of myocardial infarction suggest the need for further evaluation of her heart. Transesophageal echocardiography is a useful tool for assessing cardiac function and structure, especially in patients with unclear findings on routine examination.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, a comprehensive foot exam every year is recommended for patients with diabetes to prevent complications related to diabetic neuropathy and peripheral vascular disease.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of alcohol consumption and industrial solvent exposure, along with symptoms of ataxia, tremors, and impaired rapid alternating movements, suggest chronic alcohol abuse leading to cerebellar degeneration.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of chronic, widespread pain, along with point tenderness, are suggestive of fibromyalgia. The best treatment option for fibromyalgia is low-dose antidepressants such as paroxetine, which can help with pain and sleep issues.
Answer: (C) Paroxetine",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with worsening abdominal pain, fever, jaundice, and gallstones on ultrasound suggests acute cholangitis. The patient's deteriorating condition with altered mental status and vital sign changes indicates severe sepsis. The most appropriate next step in management is urgent biliary decompression, which can be achieved with ERCP.
Answer: (A) Endoscopic retrograde cholangiopancreatography (ERCP)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The description of white plaques on the tongue and mouth that reveal a characteristic morphology after being treated with KOH suggests oral thrush, which is commonly caused by Candida albicans. Among the options, delayed separation of the umbilical cord is associated with leukocyte adhesion deficiency, hypoparathyroidism is associated with DiGeorge syndrome, partial albinism is associated with Chediak-Higashi syndrome, and throm",
"Explanation: We refer to Wikipedia articles on medicine for help. During a thyroidectomy, the recurrent laryngeal nerve is at risk of injury due to its close proximity to the thyroid gland. Hoarseness is a common sign of recurrent laryngeal nerve injury.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The normal complete blood count and prolonged aPTT suggest a factor deficiency, which is characteristic of Hemophilia A.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's labs show metabolic acidosis with respiratory compensation (low HCO3- and low pCO2). Among the options, diarrhea is the most likely cause of the metabolic acidosis seen in this patient.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including shortness of breath, cough, bilateral ankle pain, and her travel history to Arizona and Nigeria, suggest Histoplasmosis, which is a fungal infection common in these regions.
Answer: (D) Histoplasmosis",D
"Explanation: We refer to Wikipedia articles on medicine for help. In breast cancer, tumor stage is the most important factor in determining prognosis as it takes into account the size of the tumor, lymph node involvement, and metastasis.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The description of the patient's symptoms and the photomicrograph findings suggest Alzheimer's disease, which is characterized by the presence of amyloid-β plaques and neurofibrillary tangles composed of hyperphosphorylated tau protein.
Answer: (C) Hyperphosphorylated tau",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with fever, cough, and pulmonary infiltrates after starting antiretroviral therapy is suggestive of immune reconstitution inflammatory syndrome (IRIS). In this scenario, the most appropriate initial step in treatment is to continue antitubercular therapy and antiretroviral therapy without any change.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. CD8 is a co-receptor for the T cell receptor (TCR) and binds to the major histocompatibility complex (MHC) class I molecule. This interaction helps T cells recognize antigens presented by infected cells. Among the options, the protein most likely identified binds endogenous peptides that have been transported by the TAP channel.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with Wernicke encephalopathy due to alcohol use disorder. The most appropriate initial treatment is intravenous thiamine to prevent or treat Wernicke encephalopathy.
Answer: (A) Intravenous thiamine",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient most likely has tuberculosis and is started on anti-tuberculosis therapy. The development of a skin rash, diarrhea, and confusion suggests a vitamin B6 deficiency, which is required for dehydrogenase enzymes.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The graph shows a decrease in stomach pH at point D, which indicates an increase in stomach acid secretion. This is most likely due to increased activity of enterochromaffin-like cells, which release histamine, a potent stimulant of gastric acid secretion.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of acute-onset shortness of breath, wheezing, and diaphoresis suggest an acute asthma exacerbation. The best treatment for this condition is inhaled albuterol and oxygen to relieve bronchospasm and improve oxygenation.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and the mother's use of codeine syrup suggest neonatal abstinence syndrome (NAS). The baby is showing signs of withdrawal, and the most appropriate next step in treatment would be to provide dextrose infusion to maintain blood sugar levels and support the baby during withdrawal.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The presence of spherocytes, negative Coombs test, scleral icterus, and splenomegaly suggest hereditary spherocytosis. The most appropriate diagnostic test for hereditary spherocytosis is the Eosin-5-maleimide binding test.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are characteristic of systemic lupus erythematosus (SLE). Among the options, SLE is associated with decreased lymphocyte count.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. A large, pedunculated tumor in the left atrium is most likely a myxoma. Myxomas can embolize and cause symptoms depending on where the embolus goes. The most common complication is systemic embolization, leading to symptoms such as acute arterial occlusion.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The elevated maternal serum AFP is associated with neural tube defects. Trisomy 18 and 21 are not typically associated with elevated AFP levels.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. Sodium fluoroacetate is known to form fluorocitrate in the cells of aerobic organisms. Fluorocitrate inhibits aconitase, an enzyme in the citric acid cycle, leading to the accumulation of citrate.
Answer: (B) Citrate",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of fatigue, shortness of breath, ankle swelling, widely split S2, and ECG findings of right bundle branch block suggest right-sided heart failure. Right-sided heart failure leads to increased capillary hydrostatic pressure, causing lower extremity edema.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and the positive urine culture for gram-negative rods suggest a urinary tract infection (UTI), commonly caused by Escherichia coli. The antibiotic most commonly used to treat UTIs caused by E. coli is one that inhibits cell wall synthesis.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The ECG shows ST-segment elevation in the inferior leads II, III, and aVF, indicating an acute inferior myocardial infarction. The symptoms of nausea, shortness of breath, and lightheadedness are consistent with this diagnosis.
Answer: (C)",C
"Explanation: To find the mode, we look for the value that appears most frequently in the data. In this case, the respiratory rate of 32 breaths per minute appears three times, which is more frequent than any other rate.
Answer: (B) 32 breaths per minute",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history and physical exam findings are suggestive of a possible scaphoid fracture. The scaphoid is the most commonly fractured carpal bone. Initial imaging with a radiograph of the wrist is the best next step in management to confirm the diagnosis.
Answer: (A) Radiograph of the wrist",A
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, fee-for-service pays physicians a set amount of money per service provided, not per unit time for every patient under their care. Fee-for-service may incentivize physicians to increase healthcare utilization irrespective of quality.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, the disinfectant that oxidizes and denatures proteins is Chlorine dioxide.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms of fever, cough with green sputum, and right upper-lobe infiltrate on chest x-ray suggest a bacterial infection. Among the options, Streptococcus pneumoniae is the most likely cause of this patient's symptoms.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The presentation of a solitary nodule that is fixed to surrounding tissues is concerning for malignancy. Among the options, Follicular carcinoma or Papillary carcinoma are more likely to present this way.
Answer: (B) Follicular carcinoma",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with a diagnosis of chancroid, which is caused by Haemophilus ducreyi. The characteristic finding in chancroid is Gram-negative rods in a ""school of fish"" formation on Gram stain.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The mischarged tRNA with valine will be incorporated into the growing peptide chain at the codons that specify for lysine. This will result in the incorporation of valine instead of lysine in the peptide chain.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are suggestive of a pulmonary embolism, which can be associated with genetic conditions like Factor V Leiden mutation. Factor V Leiden mutation is inherited in an autosomal dominant pattern.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and the progression of the disease suggest rabies, which spreads to the CNS via retrograde migration up peripheral nerve axons.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. Confusion in this elderly patient is most likely due to the anticholinergic effects of oxybutynin, which is used for incontinence. Anticholinergic medications are known to cause confusion in the elderly.
Answer: (B) Oxybutynin",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with swelling and pain in the right testicle, along with a history of fever and facial swelling, is suggestive of mumps orchitis. Mumps is preventable by a live attenuated vaccine.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The presence of calcium oxalate crystals in the urine suggests ethylene glycol poisoning, which leads to the formation of oxalate crystals. This condition can cause acute kidney injury and result in a non-anion gap metabolic acidosis.
Answer: (B) Non-anion gap metabolic acidosis",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with jaundice, pale stools, and elevated direct bilirubin levels suggests biliary atresia, a condition where bile flow from the liver to the gallbladder is blocked. This condition typically presents in the first few weeks to months of life with jaundice and pale stools.
Answer: (B) Biliary atresia",B
"Explanation: We refer to Wikipedia articles on medicine for help. Betamethasone is a corticosteroid that stimulates the maturation of fetal lungs by promoting the production of surfactant by type II pneumocytes.
Answer: (C) Type II pneumocytes",C
"Explanation: We refer to Wikipedia articles on medicine for help. Blotting techniques are used to detect nucleic acids (Northern blot), DNA (Southern blot), and proteins (Western blot). Since HIF-1a is a protein, the researcher should perform a Western blot to detect HIF-1a in RCC under normoxic conditions.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are consistent with scurvy, which is caused by a deficiency in Vitamin C. Vitamin C is essential for the synthesis of collagen, which is primarily composed of proline and lysine.
Answer: (B) Proline",B
"Explanation: We refer to Wikipedia articles on medicine for help. The presence of glucose in the urine (glucosuria) is due to the failure of secondary active transporters to completely reabsorb glucose in the renal tubules, as seen in uncontrolled diabetes mellitus.
Answer: (B) Secondary active transporters fail to completely reabsorb glucose in the renal tubules",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and examination findings are consistent with a stress fracture of the third metatarsal. Rest is the mainstay of treatment for stress fractures, so the most appropriate next step in management would be to advise rest and acetaminophen for pain relief.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and stool microscopy findings suggest Giardiasis, which can lead to malabsorption and malnutrition. Malnutrition can lead to a decrease in immune function, increasing the risk of Non-Hodgkin lymphoma.
Answer: (C) Non-Hodgkin lymphoma",C
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, the patient should receive a Tetanus, diphtheria, and acellular pertussis booster (Tdap) vaccine as it is recommended every 10 years for adults. The other vaccines are not indicated based on the patient's history.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has developed a fever and purulent cough with a new consolidation on chest radiography, which is indicative of pneumonia. The most common cause of community-acquired pneumonia is Streptococcus pneumoniae.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The high serum calcium concentration and low PTH concentration suggest hypercalcemia due to a PTH-related peptide produced by malignant cells. This is a common finding in certain cancers.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of annual colonoscopies since a young age due to a family history of colon issues suggests an autosomal dominant inheritance pattern, as the disease is likely to be hereditary nonpolyposis colorectal cancer (HNPCC) or Lynch syndrome.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The influx of calcium into the presynaptic nerve terminal is a crucial step that triggers the release of neurotransmitters, including glutamate.
Answer: (D)",D
